Vial ID,Tare
V600001             ,4.055
V600002             ,4.0717
V600003             ,4.0179
V600004             ,4.0104
V600005             ,4.0587
V600006             ,4.004
V600007             ,4.0197
V600008             ,4.0235
V600009             ,3.973
V600010             ,4.0728
V600011             ,4.0351
V600012             ,4.0371
V600013             ,4.0866
V600014             ,4.0921
V600015             ,3.9932
V600016             ,4.0163
V600017             ,4.0247
V600018             ,4.0152
V600019             ,4.0391
V600020             ,4.0338
V600021             ,4.0681
V600022             ,4.0485
V600023             ,4.0583
V600024             ,4.0558
V600025             ,3.9744
V600026             ,4.06
V600027             ,4.0903
V600028             ,4.017
V600029             ,3.9961
V600030             ,4.0911
V600031             ,4.0521
V600032             ,4.0169
V600033             ,4.0396
V600034             ,4.0085
V600035             ,4.0114
V600036             ,4.0155
V600037             ,4.0317
V600038             ,4.0355
V600039             ,4.0086
V600040             ,4.033
V600041             ,4.051
V600042             ,4.0445
V600043             ,4.04
V600044             ,4.0617
V600045             ,4.0569
V600046             ,4.0121
V600047             ,4.0579
V600048             ,3.9756
V600049             ,4.08
V600050             ,4.0991
V600051             ,4.1273
V600052             ,4.0853
V600053             ,4.0428
V600054             ,4.0352
V600055             ,4.0769
V600056             ,4.0562
V600057             ,3.9978
V600058             ,4.0236
V600059             ,3.999
V600060             ,4.0652
V600061             ,4.0303
V600062             ,4.0006
V600063             ,4.0926
V600064             ,4.0226
V600065             ,4.0634
V600066             ,4.0903
V600067             ,4.0819
V600068             ,4.0503
V600069             ,4.0235
V600070             ,3.985
V600071             ,4.0863
V600072             ,4.0173
V600073             ,4.0736
V600074             ,3.9804
V600075             ,4.0579
V600076             ,4.0172
V600077             ,4.0147
V600078             ,4.0391
V600079             ,4.0093
V600080             ,3.9754
V600081             ,3.9844
V600082             ,3.9886
V600083             ,3.9806
V600084             ,4.0664
V600085             ,4.0667
V600086             ,4.021
V600087             ,4.0136
V600088             ,4.01
V600089             ,4.0978
V600090             ,4.0044
V600091             ,3.977
V600092             ,4.0583
V600093             ,4.0613
V600094             ,4.0172
V600095             ,4.0474
V600096             ,3.9984
 ,
,
,
,
