Vial ID	Tare
V201277	4.9518
V201289	4.96761
V201307	4.97792
V201332	4.97338
V201284	4.97098
V201273	4.97491
V201276	5.00455
V201281	4.97282
V201275	4.94473
V201290	4.9621
V201293	5.00362
V201272	5.0021
V201285	4.96746
V201267	4.95186
V201270	4.97946
V201316	4.97169
V201282	4.95455
V201288	4.9977
V201283	4.97492
V201291	5.01116
V201274	4.98403
V201266	4.97253
V201268	4.99465
V201301	4.97729
V205373	4.84348
V205374	4.89452
V205375	4.96165
V205376	4.87745
V205377	4.93939
V205378	4.91707
V205379	4.84043
V205380	4.91023
V205381	4.86686
V205382	4.87942
V205383	4.9073
V205384	4.93288
V205385	4.87444
V205386	4.95262
V205387	4.91672
V205388	4.8756
V205389	4.91044
V205390	4.91598
V205391	4.8606
V205392	4.87342
V205393	4.87211
V205394	4.93388
V205395	4.92202
V205396	4.90645
V205397	4.87243
V205398	4.90508
V205399	4.92715
V205400	4.81457
V205401	4.90716
V205403	4.95974
V205402	4.91541
V205404	4.86673
V205405	4.89611
V205406	4.90058
V205407	4.8715
V205408	4.90559
V205409	4.86886
V205410	4.8964
V205411	4.91076
V205412	4.8859
V205413	4.96537
V205414	4.92152
V205415	4.84927
V205416	4.92316
V205417	4.89054
V205418	4.8832
V205419	4.88928
V205420	4.8747
V205421	4.84425
V205422	4.85004
V205423	4.89043
V205424	4.88299
V205425	4.87955
V205426	4.91124
V205427	4.85713
V205428	4.83463
V205429	4.85781
V205430	4.90381
V205431	4.92294
V205432	4.84457
V205433	4.97091
V205434	4.82325
V205435	4.87751
V205436	4.86572
V205437	4.8803
V205438	4.92521
V205439	4.8558
V205440	4.83427
V205441	4.83409
V205442	4.88046
V205443	4.94498
V205444	4.87569
V205445	4.89662
V205446	4.94491
V205447	4.91897
V205448	4.88066
V205449	4.96143
V205450	4.89189
V205451	4.89472
V205452	4.89644
V205453	4.90319
V205454	4.90567
V205455	4.98469
V205456	4.90122
V205457	4.92096
V205458	4.9522
V205459	4.92742
V205460	4.91489
V205461	4.88312
V205553	4.89401
V205554	4.87222
V205555	4.87744
V205556	4.97364
V205557	4.97803
V205558	4.8792
V205559	4.89082
V205560	4.88036
V205561	4.91549
V205562	4.89339
V205563	4.95212
V205545	4.89694
V205544	4.89357
V205543	4.86201
V205542	4.88383
V205541	4.90684
V205540	4.9529
V205539	4.92708
V205538	4.89896
V205537	4.88653
V205536	4.92718
V205535	4.86311
V205534	4.94731
V205533	4.88228
V205532	4.9548
V205531	4.8994
V205530	4.87013
V205529	4.88619
V205528	4.85209
V205527	4.86169
V205526	4.94125
V205525	4.90624
V205524	4.85955
V205523	4.98164
V205522	4.89919
V205521	4.86146
V205520	4.79334
V205519	4.92391
V205518	4.90496
V205517	4.92053
V205516	4.89074
V205515	4.87044
V205514	4.83553
V205513	4.82635
V205512	4.84511
V205511	4.89579
V205510	4.8575
V205509	4.89933
V205508	4.97318
V205507	4.9138
V205506	4.85855
V205505	4.87834
V205504	4.86878
V205503	4.87022
V205502	4.88266
V205501	4.8727
V205500	4.88077
V205499	4.89885
V205498	4.91393
V205497	4.90157
V205496	4.79566
V205495	4.89584
V205494	4.88892
V205493	4.87665
V205492	4.8785
V205491	4.8502
V205490	4.85092
V205489	4.91524
V205488	4.87322
V205487	4.89303
V205486	4.95607
V205485	4.86851
V205484	4.94394
V205483	4.84349
V205482	4.88928
V205481	4.88574
V205480	4.90861
V205479	4.93724
V205478	4.87886
V205477	4.88232
V205476	4.86571
V205475	4.86489
V205474	4.93461
V205473	4.87674
V205472	4.91297
V205471	4.8597
V205470	4.83706
V205469	4.8884
V205468	4.97096
V205467	4.87166
V205466	4.83949
V205465	4.91669
V205464	5.01401
V205463	4.84751
V205546	4.89163
V205547	4.88702
V205548	4.83743
V205549	4.84851
V205550	4.97871
V205551	4.9819
V205552	4.86598
